Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
,,,,,ATX,,>=750W,,,,,,,,,Delta,,,,,DC-DC,,,,,,,,,,
,,,Bronze M,B,ATX,X,<=620W,HCG-[W]M,50,3,2012,,Semi,,Full,Seasonic,GB Bronze,FB,,PR,GR,Adda,DBB,ICE1CS02,,,SITI PS223,?,Y,Y,HCG M
,,,,,ATX,,750/850W,,,5,,,,,Full,,AT/AM,FB,,PR,DC-DC,Adda,DBB,CM6800 upgraded???,,,SITI PS223,Y,Y,Y,
,,,Bronze,B,ATX,C*,850W,,,5,2018,,Full,,Full,Andyson,D8/Q8,,,,DC-DC,,,,,,,,,,
,,,Gold,G,ATX,A,650/750/850W,HCG[W] Gold,,10,,,Full,,Full,Seasonic,Focus,FB,LLC,SR,DC-DC,,,CM6901T6,CM6500UN,,,,,,
,,,Extreme,G,ATX,A,850/1000W,HCG-[W] Extreme,50,10,2018,,Full,,Full,Seasonic,Focus,FB,LLC,SR,DC-DC,,,,,,,,,,
,Signature,,,B,ATX,X,,SG-[W],,,2008,,,,,Delta,,,,,DC-DC,,,,,,,,,,
,,,,P,ATX,A-,1000/1300W,X8000A50X-18,,10,2020,,Full,,Full,Seasonic,Prime,FB,LLC,SR,DC-DC,,,CM6901T6,NPC1654,,,,,,
,,,,T,ATX,A-,1000W,X9000A505-18,,10,,,Full,,Full,,,FB,,,,,,CM6901T2,NPC1654,,,,,,
,Truepower ,Classic,,G,ATX,X,,TP-[W]C,40,5,2013,,No,,Full,Seasonic,RT,FB,LLC,SSR,DC-DC,Adda,DBB,ICE2HS01G,ICE3PCS01,,SITI PS223,Y,Y,Y,
,,New,,B,ATX,X,,,,,2009,,,,,,Similar to M12(D),,,,DC-DC,,,,,,,,,,
Apevia,Prestige,,,G,ATX,,,,,,,,,,,KT Comstars,,,,,DC-DC,,,,,,,,,,
